2026-05-08 15:53:36 | DEBUG   | aiosqlite            | executing <function connect.<locals>.connector at 0x000001DED97ED120>
2026-05-08 15:53:36 | DEBUG   | aiosqlite            | operation <function connect.<locals>.connector at 0x000001DED97ED120> completed
2026-05-08 15:53:36 | DEBUG   | aiosqlite            | executing functools.partial(<built-in method execute of sqlite3.Connection object at 0x000001DE8434BE20>, 'PRAGMA journal_mode=WAL', [])
2026-05-08 15:53:36 | DEBUG   | aiosqlite            | operation functools.partial(<built-in method execute of sqlite3.Connection object at 0x000001DE8434BE20>, 'PRAGMA journal_mode=WAL', []) completed
2026-05-08 15:53:36 | DEBUG   | aiosqlite            | executing functools.partial(<built-in method execute of sqlite3.Connection object at 0x000001DE8434BE20>, 'PRAGMA foreign_keys=ON', [])
2026-05-08 15:53:36 | DEBUG   | aiosqlite            | operation functools.partial(<built-in method execute of sqlite3.Connection object at 0x000001DE8434BE20>, 'PRAGMA foreign_keys=ON', []) completed
2026-05-08 15:53:36 | DEBUG   | aiosqlite            | executing functools.partial(<built-in method executescript of sqlite3.Connection object at 0x000001DE8434BE20>, '\n            CREATE TABLE IF NOT EXISTS sessions (\n                id TEXT PRIMARY KEY,\n                filename TEXT,\n                rows INTEGER,\n                columns INTEGER,\n                column_names TEXT,\n                created_at TIMESTAMP DEFAULT CURRENT_TIMESTAMP,\n                updated_at TIMESTAMP DEFAULT CURRENT_TIMESTAMP\n            );\n\n            CREATE TABLE IF NOT EXISTS chat_messages (\n                id INTEGER PRIMARY KEY AUTOINCREMENT,\n                session_id TEXT NOT NULL,\n                role TEXT NOT NULL,\n                content TEXT NOT NULL,\n                created_at TIMESTAMP DEFAULT CURRENT_TIMESTAMP,\n                FOREIGN KEY (session_id) REFERENCES sessions(id) ON DELETE CASCADE\n            );\n\n            CREATE TABLE IF NOT EXISTS analysis_records (\n                id INTEGER PRIMARY KEY AUTOINCREMENT,\n                session_id TEXT NOT NULL,\n                analysis_type TEXT NOT NULL,\n                summary TEXT,\n                metrics TEXT,\n                created_at TIMESTAMP DEFAULT CURRENT_TIMESTAMP,\n                FOREIGN KEY (session_id) REFERENCES sessions(id) ON DELETE CASCADE\n            );\n\n            CREATE INDEX IF NOT EXISTS idx_chat_session ON chat_messages(session_id);\n            CREATE INDEX IF NOT EXISTS idx_analysis_session ON analysis_records(session_id);\n        ')
2026-05-08 15:53:36 | DEBUG   | aiosqlite            | operation functools.partial(<built-in method executescript of sqlite3.Connection object at 0x000001DE8434BE20>, '\n            CREATE TABLE IF NOT EXISTS sessions (\n                id TEXT PRIMARY KEY,\n                filename TEXT,\n                rows INTEGER,\n                columns INTEGER,\n                column_names TEXT,\n                created_at TIMESTAMP DEFAULT CURRENT_TIMESTAMP,\n                updated_at TIMESTAMP DEFAULT CURRENT_TIMESTAMP\n            );\n\n            CREATE TABLE IF NOT EXISTS chat_messages (\n                id INTEGER PRIMARY KEY AUTOINCREMENT,\n                session_id TEXT NOT NULL,\n                role TEXT NOT NULL,\n                content TEXT NOT NULL,\n                created_at TIMESTAMP DEFAULT CURRENT_TIMESTAMP,\n                FOREIGN KEY (session_id) REFERENCES sessions(id) ON DELETE CASCADE\n            );\n\n            CREATE TABLE IF NOT EXISTS analysis_records (\n                id INTEGER PRIMARY KEY AUTOINCREMENT,\n                session_id TEXT NOT NULL,\n                analysis_type TEXT NOT NULL,\n                summary TEXT,\n                metrics TEXT,\n                created_at TIMESTAMP DEFAULT CURRENT_TIMESTAMP,\n                FOREIGN KEY (session_id) REFERENCES sessions(id) ON DELETE CASCADE\n            );\n\n            CREATE INDEX IF NOT EXISTS idx_chat_session ON chat_messages(session_id);\n            CREATE INDEX IF NOT EXISTS idx_analysis_session ON analysis_records(session_id);\n        ') completed
2026-05-08 15:53:36 | DEBUG   | aiosqlite            | executing functools.partial(<built-in method commit of sqlite3.Connection object at 0x000001DE8434BE20>)
2026-05-08 15:53:36 | DEBUG   | aiosqlite            | operation functools.partial(<built-in method commit of sqlite3.Connection object at 0x000001DE8434BE20>) completed
2026-05-08 15:53:36 | DEBUG   | aiosqlite            | executing functools.partial(<built-in method close of sqlite3.Connection object at 0x000001DE8434BE20>)
2026-05-08 15:53:36 | DEBUG   | aiosqlite            | operation functools.partial(<built-in method close of sqlite3.Connection object at 0x000001DE8434BE20>) completed
2026-05-08 15:53:36 | DEBUG   | aiosqlite            | executing <function Connection.stop.<locals>.close_and_stop at 0x000001DED97ECF40>
2026-05-08 15:53:36 | DEBUG   | aiosqlite            | operation <function Connection.stop.<locals>.close_and_stop at 0x000001DED97ECF40> completed
2026-05-08 15:53:36 | INFO    | main                 | 数据库初始化完成
2026-05-08 15:53:36 | INFO    | main                 | LLM Provider: openai
2026-05-08 15:53:40 | DEBUG   | python_multipart.multipart | Calling on_part_begin with no data
2026-05-08 15:53:40 | DEBUG   | python_multipart.multipart | Calling on_header_field with data[50:69]
2026-05-08 15:53:40 | DEBUG   | python_multipart.multipart | Calling on_header_value with data[71:122]
2026-05-08 15:53:40 | DEBUG   | python_multipart.multipart | Calling on_header_end with no data
2026-05-08 15:53:40 | DEBUG   | python_multipart.multipart | Calling on_header_field with data[124:136]
2026-05-08 15:53:40 | DEBUG   | python_multipart.multipart | Calling on_header_value with data[138:162]
2026-05-08 15:53:40 | DEBUG   | python_multipart.multipart | Calling on_header_end with no data
2026-05-08 15:53:40 | DEBUG   | python_multipart.multipart | Calling on_headers_finished with no data
2026-05-08 15:53:40 | DEBUG   | python_multipart.multipart | Calling on_part_data with data[166:327471]
2026-05-08 15:53:40 | DEBUG   | python_multipart.multipart | Calling on_part_data with data[0:250185]
2026-05-08 15:53:40 | DEBUG   | python_multipart.multipart | Calling on_part_end with no data
2026-05-08 15:53:40 | DEBUG   | python_multipart.multipart | Calling on_end with no data
