日期,产品,销售额,销量,成本,利润,部门,地区
2022-01-01,产品A,16795,358,7642,9153,销售部,华东
2022-01-02,产品B,45732,30,20433,25299,销售部,华北
2022-01-03,产品C,17850,224,7451,10399,销售部,华南
2022-01-04,产品D,48191,382,27966,20225,销售部,西南
2022-01-05,产品E,17023,140,6914,10109,销售部,华中
2022-01-06,产品A,1769,353,1149,620,销售部,华东
2022-01-07,产品B,3433,201,2395,1038,销售部,华北
2022-01-08,产品C,18568,469,10834,7734,销售部,华南
2022-01-09,产品D,7396,245,3009,4387,销售部,西南
2022-01-10,产品E,42434,68,22063,20371,销售部,华中
2022-01-11,产品A,19431,485,13448,5983,销售部,华东
2022-01-12,产品B,1189,455,755,434,销售部,华北
2022-01-13,产品C,2899,64,2014,885,销售部,华南
2022-01-14,产品D,12394,494,7216,5178,销售部,西南
2022-01-15,产品E,31740,338,13315,18425,销售部,华中
2022-01-16,产品A,11627,98,8019,3608,销售部,华东
2022-01-17,产品B,9433,274,3818,5615,销售部,华北
2022-01-18,产品C,24483,464,14273,10210,销售部,华南
2022-01-19,产品D,18159,440,8208,9951,销售部,西南
2022-01-20,产品E,36920,429,16786,20134,销售部,华中
2022-01-21,产品A,24939,11,13156,11783,销售部,华东
2022-01-22,产品B,44573,115,25420,19153,销售部,华北
2022-01-23,产品C,10692,200,6978,3714,销售部,华南
2022-01-24,产品D,6675,171,3461,3214,销售部,西南
2022-01-25,产品E,34763,279,21489,13274,销售部,华中
2022-01-26,产品A,12534,465,7158,5376,销售部,华东
2022-01-27,产品B,26851,199,13361,13490,销售部,华北
2022-01-28,产品C,24247,246,11672,12575,销售部,华南
2022-01-29,产品D,10268,289,5206,5062,销售部,西南
2022-01-30,产品E,22243,197,12518,9725,销售部,华中
2022-01-31,产品A,40976,166,26251,14725,销售部,华东
2022-02-01,产品B,49984,336,26342,23642,销售部,华北
2022-02-02,产品C,3027,145,1215,1812,销售部,华南
2022-02-03,产品D,6258,90,3838,2420,销售部,西南
2022-02-04,产品E,13666,270,9264,4402,销售部,华中
2022-02-05,产品A,39952,37,26325,13627,销售部,华东
2022-02-06,产品B,31535,277,15744,15791,销售部,华北
2022-02-07,产品C,24599,416,14775,9824,销售部,华南
2022-02-08,产品D,31818,181,18812,13006,销售部,西南
2022-02-09,产品E,25538,44,13833,11705,销售部,华中
2022-02-10,产品A,48716,440,29910,18806,销售部,华东
2022-02-11,产品B,18412,227,8668,9744,销售部,华北
2022-02-12,产品C,46453,368,19144,27309,销售部,华南
2022-02-13,产品D,1206,24,522,684,销售部,西南
2022-02-14,产品E,24419,470,11245,13174,销售部,华中
2022-02-15,产品A,42523,105,25881,16642,销售部,华东
2022-02-16,产品B,15820,416,9196,6624,销售部,华北
2022-02-17,产品C,2678,180,1234,1444,销售部,华南
2022-02-18,产品D,17198,196,10463,6735,销售部,西南
2022-02-19,产品E,23299,75,13683,9616,销售部,华中
2022-02-20,产品A,43557,450,18801,24756,销售部,华东
2022-02-21,产品B,30467,37,14183,16284,销售部,华北
2022-02-22,产品C,26939,295,17914,9025,销售部,华南
2022-02-23,产品D,19047,357,9654,9393,销售部,西南
2022-02-24,产品E,24776,394,11604,13172,销售部,华中
2022-02-25,产品A,7776,125,3932,3844,销售部,华东
2022-02-26,产品B,10474,368,4706,5768,销售部,华北
2022-02-27,产品C,6530,146,3561,2969,销售部,华南
2022-02-28,产品D,32968,316,15851,17117,销售部,西南
2022-03-01,产品E,1663,472,749,914,销售部,华中
2022-03-02,产品A,31303,481,19123,12180,销售部,华东
2022-03-03,产品B,47576,451,32767,14809,销售部,华北
2022-03-04,产品C,45417,396,22266,23151,销售部,华南
2022-03-05,产品D,21080,449,8665,12415,销售部,西南
2022-03-06,产品E,27736,11,15277,12459,销售部,华中
2022-03-07,产品A,47645,352,23040,24605,销售部,华东
2022-03-08,产品B,8392,394,3959,4433,销售部,华北
2022-03-09,产品C,22556,181,12052,10504,销售部,华南
2022-03-10,产品D,27309,425,15779,11530,销售部,西南
2022-03-11,产品E,33970,193,16009,17961,销售部,华中
2022-03-12,产品A,26342,303,13443,12899,销售部,华东
2022-03-13,产品B,41545,207,21588,19957,销售部,华北
2022-03-14,产品C,45542,249,29124,16418,销售部,华南
2022-03-15,产品D,28848,133,15937,12911,销售部,西南
2022-03-16,产品E,16708,268,9644,7064,销售部,华中
2022-03-17,产品A,48011,412,29447,18564,销售部,华东
2022-03-18,产品B,31206,156,15746,15460,销售部,华北
2022-03-19,产品C,2734,317,1865,869,销售部,华南
2022-03-20,产品D,19343,137,10741,8602,销售部,西南
2022-03-21,产品E,12111,138,7299,4812,销售部,华中
2022-03-22,产品A,9120,482,4220,4900,销售部,华东
2022-03-23,产品B,22918,487,13950,8968,销售部,华北
2022-03-24,产品C,17646,261,7984,9662,销售部,华南
2022-03-25,产品D,26199,69,12529,13670,销售部,西南
2022-03-26,产品E,32616,313,22492,10124,销售部,华中
2022-03-27,产品A,21932,46,14580,7352,销售部,华东
2022-03-28,产品B,8158,18,3945,4213,销售部,华北
2022-03-29,产品C,43642,313,28541,15101,销售部,华南
2022-03-30,产品D,5499,161,2866,2633,销售部,西南
2022-03-31,产品E,13183,125,5605,7578,销售部,华中
2022-04-01,产品A,33711,429,22571,11140,销售部,华东
2022-04-02,产品B,49354,121,21244,28110,销售部,华北
2022-04-03,产品C,17482,162,7019,10463,销售部,华南
2022-04-04,产品D,47975,375,27087,20888,销售部,西南
2022-04-05,产品E,3869,172,2304,1565,销售部,华中
2022-04-06,产品A,47760,493,29308,18452,销售部,华东
2022-04-07,产品B,24328,407,12106,12222,销售部,华北
2022-04-08,产品C,4987,393,3108,1879,销售部,华南
2022-04-09,产品D,34986,410,17227,17759,销售部,西南
2022-04-10,产品E,5555,452,2834,2721,销售部,华中
2022-04-11,产品A,20830,31,9856,10974,销售部,华东
2022-04-12,产品B,15373,239,7962,7411,销售部,华北
2022-04-13,产品C,11677,273,6881,4796,销售部,华南
2022-04-14,产品D,49404,295,29322,20082,销售部,西南
2022-04-15,产品E,40790,457,26890,13900,销售部,华中
2022-04-16,产品A,28643,326,15746,12897,销售部,华东
2022-04-17,产品B,38410,201,22801,15609,销售部,华北
2022-04-18,产品C,9208,181,6281,2927,销售部,华南
2022-04-19,产品D,44484,55,30002,14482,销售部,西南
2022-04-20,产品E,48202,389,19504,28698,销售部,华中
2022-04-21,产品A,19711,358,10416,9295,销售部,华东
2022-04-22,产品B,46236,104,31860,14376,销售部,华北
2022-04-23,产品C,1190,262,613,577,销售部,华南
2022-04-24,产品D,7102,170,3516,3586,销售部,西南
2022-04-25,产品E,27641,290,14329,13312,销售部,华中
2022-04-26,产品A,24093,67,16359,7734,销售部,华东
2022-04-27,产品B,37631,123,21995,15636,销售部,华北
2022-04-28,产品C,12093,160,5345,6748,销售部,华南
2022-04-29,产品D,17538,499,11631,5907,销售部,西南
